End Station,End Latitude,End Longitude,Total Trips Ended
Crotona Park North & Prospect Ave,40.841092,-73.892317,21
Cumberland St & Lafayette Ave,40.68753406,-73.97265183,9341
Cypress Ave & George St,40.69812,-73.90271,646
Cypress Ave & Palmetto St,40.70157341,-73.90876293,572
Dawson St & Intervale Ave,40.819999,-73.897263,84
DeKalb Ave & Franklin Ave,40.69064807,-73.95746179,8521
DeKalb Ave & Hudson Ave,40.689888,-73.981013,14156
DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,14804
DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,12358
Dean St & 4 Ave,40.68312489,-73.97895137,14577
Dean St & Franklin Ave,40.67759207,-73.95563722,9754
Dean St & Hoyt St,40.6864442,-73.98759104,6978
Degraw St & Hoyt St,40.68199044,-73.99079025,5202
Degraw St & Smith St,40.6829151,-73.99318208,8968
Delancey St & Eldridge St,40.719383,-73.991479,7049
Devoe St & Lorimer St,40.71335226,-73.94910336,11534
Devoe St & Morgan Ave,40.713811,-73.93515,2982
Ditmars Blvd & 19 St,40.78145,-73.9183302,6939
Division Av & Hooper St,40.70684203,-73.9544354,2961
Division Ave & Hooper St,40.70684203,-73.9544354,3576
Division Ave & Marcy Ave,40.70708701,-73.95796783,2785
Division St & Bowery,40.71413089,-73.9970468,12902
Division St & Bowery,40.714193,-73.996732,7982
Dock 72 Way & Market St,40.69985,-73.97141,4654
Douglass St & 3 Ave,40.6802133,-73.98432695,7249
Douglass St & 4 Ave,40.6792788,-73.98154004,7037
Driggs Ave & Lorimer St,40.72179134,-73.9504154,7403
Driggs Ave & N 9 St,40.71816969,-73.95520136,19143
Driggs Ave & N Henry St,40.72325,-73.94308,10710
Duane St & Greenwich St,40.71748752,-74.0104554,13632
Duffield St & Willoughby St,40.69221589,-73.9842844,12316
Dwight St & Van Dyke St,40.67363551,-74.01195556,3115
E 10 St & 5 Ave,40.73331967,-73.99510132,25039
E 10 St & Avenue A,40.72740794,-73.98142006,50053
E 102 St & 1 Ave,40.7869946,-73.94164802,15485
E 102 St & Park Ave,40.7904828,-73.95033068,7426
E 103 St & Lexington Ave,40.7903051,-73.94755757,9496
E 106 St & 1 Ave,40.7892529,-73.93956237,6719
E 106 St & Lexington Ave,40.791976,-73.945993,7324
